date,close,high,low,open,volume,adjClose
2018-04-24 00:00:00+00:00,162.94,166.33,161.22,165.67,33692017,39.23069723
2018-04-25 00:00:00+00:00,163.65,165.42,162.41,162.62,28382084,39.40164233
2018-04-26 00:00:00+00:00,164.22,165.73,163.37,164.12,27963014,39.53887995
2018-04-27 00:00:00+00:00,162.32,164.33,160.63,164,35655839,39.08142122
2018-04-30 00:00:00+00:00,165.26,167.26,161.84,162.13,42427424,39.78927841
2018-05-01 00:00:00+00:00,169.1,169.2,165.27,166.41,53569376,40.71382657
2018-05-02 00:00:00+00:00,176.57,177.75,173.8,175.23,66539371,42.51236167
2018-05-03 00:00:00+00:00,176.89,177.5,174.44,175.88,34068180,42.58940735
2018-05-04 00:00:00+00:00,183.83,184.25,178.17,178.25,56201317,44.26033553
2018-05-07 00:00:00+00:00,185.16,187.67,184.75,185.18,42451423,44.58055664
2018-05-08 00:00:00+00:00,186.05,186.22,183.67,184.99,28402777,44.79483994
2018-05-09 00:00:00+00:00,187.36,187.4,185.22,186.55,23211241,45.11024569
2018-05-10 00:00:00+00:00,190.04,190.37,187.65,187.74,27989289,45.75550326
2018-05-11 00:00:00+00:00,188.59,190.06,187.45,189.49,26212221,45.58215048
2018-05-14 00:00:00+00:00,188.15,189.53,187.86,189.01,20778772,45.4758026
2018-05-15 00:00:00+00:00,186.44,187.07,185.1,186.78,23695159,45.06249608
2018-05-16 00:00:00+00:00,188.18,188.46,186,186.07,19183064,45.4830536
2018-05-17 00:00:00+00:00,186.99,188.91,186.36,188,17294029,45.19543093
2018-05-18 00:00:00+00:00,186.31,187.81,186.13,187.19,18297728,45.03107512
2018-05-21 00:00:00+00:00,187.63,189.27,186.91,188,18400787,45.35011875
2018-05-22 00:00:00+00:00,187.16,188.88,186.78,188.38,15240704,45.23651988
2018-05-23 00:00:00+00:00,188.36,188.5,185.76,186.35,20058415,45.52655955
2018-05-24 00:00:00+00:00,188.15,188.84,186.21,188.77,23233975,45.4758026
2018-05-25 00:00:00+00:00,188.58,189.65,187.65,188.23,17460963,45.57973348
2018-05-29 00:00:00+00:00,187.9,188.75,186.87,187.6,22514075,45.41537767
2018-05-30 00:00:00+00:00,187.5,188,186.78,187.72,18690547,45.31869779
2018-05-31 00:00:00+00:00,186.87,188.23,186.14,187.22,27482793,45.16642696
2018-06-01 00:00:00+00:00,190.24,190.26,187.75,187.99,23442510,45.98095502
2018-06-04 00:00:00+00:00,191.83,193.42,191.35,191.64,26266174,46.36525758
2018-06-05 00:00:00+00:00,193.31,193.94,192.36,193.07,21565963,46.72297317
2018-06-06 00:00:00+00:00,193.98,194.08,191.92,193.63,20933619,46.88491198
2018-06-07 00:00:00+00:00,193.46,194.2,192.34,194.14,21347180,46.75922813
2018-06-08 00:00:00+00:00,191.7,192,189.77,191.17,26656799,46.33383662
2018-06-11 00:00:00+00:00,191.23,191.97,190.21,191.35,18308460,46.22023775
2018-06-12 00:00:00+00:00,192.28,192.61,191.15,191.39,16911141,46.47402245
2018-06-13 00:00:00+00:00,190.7,192.88,190.44,192.42,21638393,46.09213689
2018-06-14 00:00:00+00:00,190.8,191.57,190.22,191.55,21610074,46.11630687
2018-06-15 00:00:00+00:00,188.84,190.16,188.26,190.03,61719160,45.64257541
